Ground truth,Predicted category,Quantity
0,0,98
0,22,1
0,4,3
0,background,9
1,1,65
1,14,9
1,26,1
10,10,111
10,11,23
10,15,2
10,19,4
10,27,3
10,3,6
10,7,1
10,background,23
11,11,469
11,2,4
11,22,1
11,23,2
11,27,3
11,background,10
12,0,1
12,11,4
12,12,347
12,13,1
12,14,1
12,18,8
12,19,1
12,21,6
12,22,13
12,5,3
12,background,26
13,12,8
13,13,137
13,14,2
13,19,4
13,21,22
13,25,1
13,27,1
13,3,1
13,5,2
13,6,1
13,background,43
14,0,7
14,12,1
14,14,74
14,16,1
14,21,1
14,25,10
14,26,3
14,27,43
14,4,3
14,6,5
14,background,30
15,11,1
15,12,3
15,15,64
15,16,3
15,18,1
15,19,9
15,20,1
15,21,4
15,22,1
15,23,7
15,27,10
15,3,1
15,background,10
16,1,1
16,16,73
16,21,22
16,22,2
16,25,2
16,27,1
16,background,11
17,1,4
17,10,2
17,12,5
17,16,6
17,17,44
17,19,4
17,21,1
17,22,1
17,24,1
17,25,19
17,6,3
17,background,11
18,12,2
18,18,195
18,24,1
18,27,4
18,background,135
19,12,4
19,13,8
19,19,255
19,21,5
19,23,1
19,25,16
19,3,2
19,9,1
19,background,14
2,1,1
2,10,1
2,12,2
2,14,1
2,16,6
2,19,1
2,2,186
2,20,1
2,25,4
2,26,6
2,27,3
2,3,1
2,background,38
20,20,102
20,25,4
20,27,5
20,background,9
21,16,1
21,19,1
21,21,266
21,22,6
21,3,4
21,7,1
21,background,32
22,0,7
22,11,4
22,12,4
22,13,1
22,21,11
22,22,163
22,3,1
22,4,2
22,background,33
23,12,2
23,15,20
23,19,4
23,23,167
23,24,2
23,4,1
23,background,19
24,11,1
24,15,1
24,18,10
24,19,2
24,2,4
24,23,4
24,24,225
24,3,1
24,background,57
25,13,4
25,14,1
25,17,3
25,19,3
25,20,2
25,21,3
25,25,218
25,27,4
25,3,2
25,6,1
25,background,38
26,18,1
26,2,2
26,26,124
26,3,2
26,background,17
27,1,1
27,14,2
27,2,3
27,20,2
27,21,2
27,25,7
27,27,208
27,3,7
27,6,3
27,8,1
27,background,72
3,1,2
3,11,4
3,16,1
3,18,2
3,21,17
3,25,2
3,26,1
3,27,9
3,3,249
3,6,13
3,background,36
4,0,5
4,14,2
4,16,2
4,25,1
4,26,6
4,4,227
4,6,2
4,background,31
5,0,3
5,14,2
5,19,2
5,2,1
5,21,6
5,5,156
5,background,7
6,1,3
6,12,6
6,16,3
6,17,8
6,18,1
6,19,3
6,20,8
6,21,2
6,26,1
6,27,6
6,3,6
6,5,5
6,6,28
6,background,15
7,7,339
7,background,105
8,8,9
8,background,65
9,6,1
9,9,276
9,background,65
background,0,27
background,1,9
background,2,78
background,3,63
background,4,19
background,5,41
background,6,12
background,7,185
background,8,2
background,9,186
background,10,19
background,11,69
background,12,43
background,13,16
background,14,34
background,15,23
background,16,37
background,17,16
background,18,66
background,19,57
background,20,17
background,21,105
background,22,50
background,23,45
background,24,52
background,25,62
background,26,37
background,27,110
